__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-whxs.ap95-g8xt,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.39070698 37.734802303),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.390707,37.7348023,94124,3rd Street & Oakdale Avenue,3Rd St. Between Palou And Oakdale Ave.,Public Display,3rd Street Light Rail,painted steel,,480 x 36 x 10 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.21.1,2024-04-17T12:53:50.300,2006
row-zrgz.48eg~jy2x,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.423686627 37.771741407),Hayes Valley,08,Castro LGBTQ Cultural District,1,-122.4236866,37.77174141,94102,Octavia Boulevard & Market Street,Between Market St. And Hayes Green,Public Display,Octavia Blvd.,"Stainless steel, mirror and glass lenses","Stainless steel, mirror and glass lenses",approx. 8 blocks,Ghinlon/Transcope,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Octavia Boulevard Streetscape Project,Wang Po Shu,2007.32.1-12,2024-04-17T12:53:50.300,2005
row-hg97-t7v2_zqbs,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404809689 37.794457951),Chinatown,03,,0,-122.4048097,37.79445795,94108,Clay Street & Kearny Street,Lower Level,Public Display,Portsmouth Square,Cast concrete,Cast concrete,"Varies from 144"" L to 15"" L X 23"" W to 15"" W",Untitled,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Portsmouth Square,"Fuller (McChesney), Mary",1999.19.1-15,2024-04-17T12:53:50.300,1999
row-2v8y.5zma_72ma,2024-04-25T13:55:19.101,,,,,0,,,94128,,"BAE, Gate 65 End Of Terminal",SFO,Terminal 3,"Stainless Steel, LED Lights, Paint","Stainless Steel, LED Lights, Paint",420 x 480 in.,Sky,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco International Airport,Merge Conceptual Design,2016.17.a-z,2024-04-17T12:53:50.300,2014
row-rsbq_u9q8~wvwr,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.384469944 37.605746093),,,,0,-122.3844699,37.60574609,94128,55 S McDonnell Road,"Grand Hyatt, Level 1, Lobby",SFO,Hotel,"hand cut glass, stone mosaic","hand cut glass, stone mosaic",28ft x 28ft,Green Map,,"Harvey, Ellen",T2018.27,2024-04-17T12:53:50.300,2019
row-22v9~thq9-rsj9,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415872061 37.779349574),Tenderloin,05,,0,-122.4158721,37.77934957,94102,100 Larkin Street,Latino/Hispanic Community Room,Public Display,Main Library,Acrylic on board,Acrylic,,Perhaps Better Voices,Collection of the City and County of San Francisco; Gift of Carlota del Portillo to the San Francisco Public Library,"Paniagua, Emanuel",1997.12,2024-04-17T12:53:50.300,1997
row-kn7b~4gc8~5yne,2024-04-25T13:55:19.101,,,,,0,,,94116,375 Laguna Honda Boulevad,"Central quad, garden area",Public Display,Laguna Honda Hospital,Bronze and stone,Bronze and stone,,Rabbinoid on Cell Phone,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Pine Lake Park,"Heffernon, Gerald",2007.35,2024-04-17T12:53:50.300,
row-byru-jb8g-kdst,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Main Building Third Floor East Courtyard,City Agency,San Francisco General Hospital,Mosaic-tile mural,Mosaic-tile mural,"300"" X 120""",Roof Mural,Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission for the San Francisco General Hospital,"Concha, Jerry (Gerald)",1977.57,2024-04-17T12:53:50.300,1977
row-2ket_e9e2_2nbs,2024-04-25T13:55:19.101,,,,,0,,,94128,,"International Terminal, Transfer Corridor",SFO,International Terminal,Mixed medium,Mixed medium,,Light Beams for the Sky of Transfer Cooridor,Commission for the San Francisco International Airport by the San Francisco Arts Commission,"Acconci, Vito",2002.7,2024-04-17T12:53:50.300,2002
row-e82a-vydc_st66,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.510050184 37.773264406),Outer Richmond,01,,0,-122.5100502,37.77326441,94121,Cabrillo Street & La Playa Street,Northeast Intersection Corner,Public Display,MUNI terminal,Stainless steel mesh over steel armature with photo-etched plaques,Stainless steel mesh over steel armature with photo-etched plaques,174 x 77 x 4 1/2 in.,Playland Revisited [Clown],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Ocean Beach Terminal Project,"Beldner, Ray",1996.1.3,2024-04-17T12:53:50.300,1996
